
E  /  dE   / X  /   Y  /  FWHMx  /  FWHMy/............./W
0.10716 0.00119 0.67205 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.13639732e+09
0.10716 0.00119 -0.00000 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.88098846e+09
0.10716 0.00119 -0.67205 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.13600573e+09
0.10716 0.00119 -1.34410 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.98734357e+09
0.10716 0.00119 -2.01615 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.88882310e+09
0.10716 0.00119 -2.68820 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.39082689e+09
0.10716 0.00119 -3.36025 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.30259724e+09
0.10716 0.00119 -4.03229 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 4.03992582e+09
0.10716 0.00119 -4.70434 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.04777587e+09
0.10716 0.00119 -5.37639 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.34714894e+09
0.10716 0.00119 5.71242 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.09508509e+09
0.10716 0.00119 5.04037 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.64603985e+09
0.10716 0.00119 4.36832 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.76945077e+09
0.10716 0.00119 3.69627 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.34490408e+09
0.10716 0.00119 3.02422 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.66964955e+09
0.10716 0.00119 2.35217 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.07519703e+09
0.10716 0.00119 1.68012 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.57759262e+09
0.10716 0.00119 1.00807 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.27791809e+09
0.10716 0.00119 0.33602 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.41306547e+09
0.10716 0.00119 -0.33602 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.41502408e+09
0.10716 0.00119 -1.00807 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.27576358e+09
0.10716 0.00119 -1.68012 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.58092233e+09
0.10716 0.00119 -2.35217 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.07754744e+09
0.10716 0.00119 -3.02422 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.67513378e+09
0.10716 0.00119 -3.69627 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.35117192e+09
0.10716 0.00119 -4.36832 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.76788376e+09
0.10716 0.00119 -5.04037 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.64271034e+09
0.10716 0.00119 -5.71242 -0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.09312648e+09
0.10716 0.00119 5.37639 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.90830427e+09
0.10716 0.00119 4.70434 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.38397175e+09
0.10716 0.00119 4.03229 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.73163345e+09
0.10716 0.00119 3.36025 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.35087026e+09
0.10716 0.00119 2.68820 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.41550603e+09
0.10716 0.00119 2.01615 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.54497328e+09
0.10716 0.00119 1.34410 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.38847647e+09
0.10716 0.00119 0.67205 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.41883575e+09
0.10716 0.00119 -0.00000 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.49776950e+09
0.10716 0.00119 -0.67205 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.42040276e+09
0.10716 0.00119 -1.34410 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.38651786e+09
0.10716 0.00119 -2.01615 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.54693189e+09
0.10716 0.00119 -2.68820 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.41511423e+09
0.10716 0.00119 -3.36025 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.35126206e+09
0.10716 0.00119 -4.03229 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.72673672e+09
0.10716 0.00119 -4.70434 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.39670292e+09
0.10716 0.00119 -5.37639 -1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.89851081e+09
0.10716 0.00119 5.04037 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.76268558e+09
0.10716 0.00119 4.36832 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.65868088e+09
0.10716 0.00119 3.69627 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.20564358e+09
0.10716 0.00119 3.02422 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.56270673e+09
0.10716 0.00119 2.35217 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.55506798e+09
0.10716 0.00119 1.68012 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.42148762e+09
0.10716 0.00119 1.00807 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.59169490e+09
0.10716 0.00119 0.33602 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.48142256e+09
0.10716 0.00119 -0.33602 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.48063916e+09
0.10716 0.00119 -1.00807 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.58621066e+09
0.10716 0.00119 -1.68012 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.41306547e+09
0.10716 0.00119 -2.35217 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.55075896e+09
0.10716 0.00119 -3.02422 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.55683090e+09
0.10716 0.00119 -3.69627 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.20270566e+09
0.10716 0.00119 -4.36832 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.66416531e+09
0.10716 0.00119 -5.04037 -1.76667 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.75191302e+09
0.10390 0.00117 5.46701 1.19806 0.74094 0.89939 0.00360 0.00401 -0.00100 -0.00050 8.07236735e+08
0.10390 0.00117 4.78364 1.19806 0.74094 0.89939 0.00360 0.00401 -0.00100 -0.00050 1.62098808e+09
0.10390 0.00117 4.10026 1.19806 0.74094 0.89939 0.00360 0.00401 -0.00100 -0.00050 1.78634427e+09
